2018-08-24 09:54:55 chartsDataCollector died, spawning replacement...
2018-08-24 09:57:57 chartsDataCollector died, spawning replacement...
2018-08-24 10:01:00 chartsDataCollector died, spawning replacement...
2018-08-24 10:04:02 chartsDataCollector died, spawning replacement...
2018-08-24 10:07:04 chartsDataCollector died, spawning replacement...
2018-08-24 10:10:06 chartsDataCollector died, spawning replacement...
2018-08-24 10:13:09 chartsDataCollector died, spawning replacement...
2018-08-24 10:16:11 chartsDataCollector died, spawning replacement...
2018-08-24 10:19:13 chartsDataCollector died, spawning replacement...
2018-08-24 10:22:16 chartsDataCollector died, spawning replacement...
2018-08-24 10:25:18 chartsDataCollector died, spawning replacement...
2018-08-24 10:28:20 chartsDataCollector died, spawning replacement...
2018-08-24 10:31:22 chartsDataCollector died, spawning replacement...
2018-08-24 10:34:25 chartsDataCollector died, spawning replacement...
2018-08-24 10:37:27 chartsDataCollector died, spawning replacement...
2018-08-24 10:40:29 chartsDataCollector died, spawning replacement...
2018-08-24 10:43:32 chartsDataCollector died, spawning replacement...
2018-08-24 10:46:34 chartsDataCollector died, spawning replacement...
2018-08-24 10:49:36 chartsDataCollector died, spawning replacement...
2018-08-24 10:52:39 chartsDataCollector died, spawning replacement...
2018-08-24 10:55:41 chartsDataCollector died, spawning replacement...
2018-08-24 10:58:43 chartsDataCollector died, spawning replacement...
2018-08-24 11:01:45 chartsDataCollector died, spawning replacement...
2018-08-24 11:04:48 chartsDataCollector died, spawning replacement...
2018-08-24 11:07:50 chartsDataCollector died, spawning replacement...
2018-08-24 11:10:52 chartsDataCollector died, spawning replacement...
2018-08-24 11:13:55 chartsDataCollector died, spawning replacement...
2018-08-24 11:16:57 chartsDataCollector died, spawning replacement...
2018-08-24 11:19:59 chartsDataCollector died, spawning replacement...
2018-08-24 11:23:02 chartsDataCollector died, spawning replacement...
2018-08-24 11:26:04 chartsDataCollector died, spawning replacement...
2018-08-24 11:29:06 chartsDataCollector died, spawning replacement...
2018-08-24 11:32:09 chartsDataCollector died, spawning replacement...
2018-08-24 11:35:11 chartsDataCollector died, spawning replacement...
2018-08-24 11:38:13 chartsDataCollector died, spawning replacement...
2018-08-24 11:41:16 chartsDataCollector died, spawning replacement...
2018-08-24 11:44:18 chartsDataCollector died, spawning replacement...
2018-08-24 11:47:20 chartsDataCollector died, spawning replacement...
2018-08-24 11:50:22 chartsDataCollector died, spawning replacement...
2018-08-24 11:53:25 chartsDataCollector died, spawning replacement...
2018-08-24 11:56:27 chartsDataCollector died, spawning replacement...
2018-08-24 11:59:29 chartsDataCollector died, spawning replacement...
2018-08-24 12:02:32 chartsDataCollector died, spawning replacement...
2018-08-24 12:05:34 chartsDataCollector died, spawning replacement...
2018-08-24 12:08:36 chartsDataCollector died, spawning replacement...
2018-08-24 12:11:39 chartsDataCollector died, spawning replacement...
2018-08-24 12:14:41 chartsDataCollector died, spawning replacement...
2018-08-24 12:17:43 chartsDataCollector died, spawning replacement...
2018-08-24 12:20:46 chartsDataCollector died, spawning replacement...
2018-08-24 12:23:48 chartsDataCollector died, spawning replacement...
2018-08-24 12:26:50 chartsDataCollector died, spawning replacement...
2018-08-24 12:29:52 chartsDataCollector died, spawning replacement...
2018-08-24 12:32:55 chartsDataCollector died, spawning replacement...
2018-08-24 12:35:57 chartsDataCollector died, spawning replacement...
2018-08-24 12:38:59 chartsDataCollector died, spawning replacement...
2018-08-24 12:42:02 chartsDataCollector died, spawning replacement...
2018-08-24 12:45:04 chartsDataCollector died, spawning replacement...
2018-08-24 12:48:06 chartsDataCollector died, spawning replacement...
2018-08-24 12:51:09 chartsDataCollector died, spawning replacement...
2018-08-24 12:54:11 chartsDataCollector died, spawning replacement...
2018-08-24 12:57:13 chartsDataCollector died, spawning replacement...
2018-08-24 13:00:16 chartsDataCollector died, spawning replacement...
2018-08-24 13:03:18 chartsDataCollector died, spawning replacement...
2018-08-24 13:06:20 chartsDataCollector died, spawning replacement...
2018-08-24 13:09:22 chartsDataCollector died, spawning replacement...
2018-08-24 13:12:25 chartsDataCollector died, spawning replacement...
2018-08-24 13:15:27 chartsDataCollector died, spawning replacement...
2018-08-24 13:18:29 chartsDataCollector died, spawning replacement...
2018-08-24 13:21:32 chartsDataCollector died, spawning replacement...
2018-08-24 13:24:34 chartsDataCollector died, spawning replacement...
2018-08-24 13:27:36 chartsDataCollector died, spawning replacement...
2018-08-24 13:30:38 chartsDataCollector died, spawning replacement...
2018-08-24 13:33:41 chartsDataCollector died, spawning replacement...
2018-08-24 13:36:43 chartsDataCollector died, spawning replacement...
2018-08-24 13:39:45 chartsDataCollector died, spawning replacement...
2018-08-24 13:42:48 chartsDataCollector died, spawning replacement...
2018-08-24 13:45:50 chartsDataCollector died, spawning replacement...
2018-08-24 13:48:52 chartsDataCollector died, spawning replacement...
2018-08-24 13:51:55 chartsDataCollector died, spawning replacement...
2018-08-24 13:54:57 chartsDataCollector died, spawning replacement...
2018-08-24 13:58:00 chartsDataCollector died, spawning replacement...
2018-08-24 14:01:02 chartsDataCollector died, spawning replacement...
2018-08-24 14:04:04 chartsDataCollector died, spawning replacement...
2018-08-24 14:07:06 chartsDataCollector died, spawning replacement...
2018-08-24 14:10:09 chartsDataCollector died, spawning replacement...
2018-08-24 14:13:11 chartsDataCollector died, spawning replacement...
2018-08-24 14:16:13 chartsDataCollector died, spawning replacement...
2018-08-24 14:19:16 chartsDataCollector died, spawning replacement...
2018-08-24 14:22:18 chartsDataCollector died, spawning replacement...
2018-08-24 14:25:20 chartsDataCollector died, spawning replacement...
2018-08-24 14:28:23 chartsDataCollector died, spawning replacement...
2018-08-24 14:31:25 chartsDataCollector died, spawning replacement...
2018-08-24 14:34:27 chartsDataCollector died, spawning replacement...
2018-08-24 14:37:30 chartsDataCollector died, spawning replacement...
2018-08-24 14:40:32 chartsDataCollector died, spawning replacement...
2018-08-24 14:43:34 chartsDataCollector died, spawning replacement...
2018-08-24 14:46:37 chartsDataCollector died, spawning replacement...
2018-08-24 14:49:39 chartsDataCollector died, spawning replacement...
2018-08-24 14:52:41 chartsDataCollector died, spawning replacement...
2018-08-24 14:55:44 chartsDataCollector died, spawning replacement...
2018-08-24 14:58:46 chartsDataCollector died, spawning replacement...
2018-08-24 15:01:48 chartsDataCollector died, spawning replacement...
2018-08-24 15:04:51 chartsDataCollector died, spawning replacement...
2018-08-24 15:07:53 chartsDataCollector died, spawning replacement...
2018-08-24 15:10:55 chartsDataCollector died, spawning replacement...
2018-08-24 15:13:58 chartsDataCollector died, spawning replacement...
2018-08-24 15:17:00 chartsDataCollector died, spawning replacement...
2018-08-24 15:20:02 chartsDataCollector died, spawning replacement...
2018-08-24 15:23:05 chartsDataCollector died, spawning replacement...
2018-08-24 15:26:07 chartsDataCollector died, spawning replacement...
2018-08-24 15:29:09 chartsDataCollector died, spawning replacement...
2018-08-24 15:32:11 chartsDataCollector died, spawning replacement...
